sphere 0.4 ===,,,,
force,  full_membrane_msg, contact_area_msg, mean_dis_msg, max_dis_msg
3.08158,2.0772,1.015,0.00463537,0.0283954
3.03172,2.1065,1.36348,0.00467807,0.0293626
3.03548,2.16445,0.461158,0.00464543,0.0293413
2.99268,2.09439,0.853297,0.00460342,0.0286823
2.94129,2.03416,0.701747,0.00457722,0.0256165
2.94951,2.08357,0.744663,0.00454895,0.0277923
2.94925,2.10053,0.507195,0.00458965,0.0298167
3.19397,2.1225,0.723167,0.00454659,0.0265718
3.49422,2.05138,1.02281,0.00496126,0.0358308
3.50448,2.05191,1.49596,0.00525288,0.0370955
3.54937,2.05818,1.16781,0.00538971,0.0382251
3.48868,2.10464,0.549336,0.00543224,0.0385025
3.46958,2.06762,0.79742,0.00529657,0.0356172
3.39412,2.24529,1.72166,0.0052789,0.0346118
3.41768,2.14936,0.574095,0.00523962,0.0355124
3.43156,2.0654,1.86953,0.00526994,0.0361009
3.3996,2.05341,1.53667,0.0052709,0.0382998
3.46315,2.07916,0.521992,0.00527004,0.0377109
3.40291,2.02572,1.71479,0.00528671,0.0352204
3.43379,2.15357,1.42873,0.00526098,0.0329908
3.36425,1.98073,0.842088,0.00526767,0.0339195
3.40227,2.00738,1.2187,0.00516282,0.0330654
3.38852,2.06894,0.597649,0.00523614,0.033317
2.70039,2.15058,1.26808,0.00538108,0.0364717
2.42645,2.04182,0.479654,0.00454078,0.0279295
2.38716,2.09445,0.267098,0.00440203,0.0235969
2.65251,2.08535,0.29144,0.00453542,0.0254198
2.5666,2.14863,0.760561,0.0045143,0.0274482
2.53031,2.09131,0.464165,0.0044081,0.024081
1.82881,2.06109,0.337848,0.0040123,0.0186842
2.18523,2.08694,0.224914,0.00403095,0.0175825
2.37652,2.08752,0.288044,0.00405291,0.0217806
2.18427,2.14122,1.02387,0.00392328,0.0214459
1.91752,2.09498,0.429638,0.0036733,0.0189514
1.79716,2.2118,0.396778,0.00361148,0.0157658
1.7019,1.98257,0.325657,0.00356315,0.0180832
0.852032,1.96854,0.353265,0.00371375,0.0160149
1.2301,2.1093,0.0356742,0.00317353,0.013986
1.35586,1.98158,0.0104316,0.00327796,0.0129367
1.26015,2.044,0.00547328,0.00321291,0.0159776
1.22182,2.01655,0.000425602,0.00318629,0.0128316
1.16909,2.01918,0.000055158,0.00313063,0.011398
1.11726,2.04491,7.14848E-06,0.00306094,0.0110762
1.17349,1.95852,5.55866E-07,0.00307874,0.0120422
1.18762,2.09265,4.32241E-08,0.00321165,0.0108654
2.2966,2.17654,0.0446066,0.00365219,0.0169311
2.1958,2.11631,0.33728,0.00393207,0.017508
2.28438,2.03876,0.368469,0.00400324,0.0184121
2.28005,2.13649,0.542505,0.0039934,0.0201413
2.24292,2.10481,0.395373,0.00401984,0.0170096
2.20433,2.03633,0.740394,0.00402209,0.0173896
2.21344,2.09456,0.339613,0.00398665,0.0164649
2.1907,2.01327,0.478969,0.0039603,0.0180671
2.21108,2.15286,0.409389,0.00390933,0.019258
2.30635,2.09081,0.35916,0.0039652,0.0194714
2.28565,2.0496,0.771876,0.00398854,0.0207665
2.30087,2.11689,0.647211,0.0040037,0.0214323
2.30921,2.07153,0.546236,0.00398797,0.0217802
2.29469,2.13822,0.565976,0.00403595,0.021593
2.29527,2.2234,0.551562,0.00402252,0.0232093
